Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Gabon,GAB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7039.682149,7090.454634,7038.577278,6893.384327,6786.89035,6893.323105,6619.688603,6577.411772,6637.066106,6654.756571
"Gambia, The",GMB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,605.033694,611.6712191,606.3162003,618.4807687,645.9381872,668.6351226,655.5761192,672.802271,688.6527914,707.5587401
Georgia,GEO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3960.350801,4086.622347,4225.091549,4442.507441,4713.653548,4975.811482,4659.609253,5175.198652,5736.304496,6086.592688
Germany,DEU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,40851.16173,41103.25644,41682.03224,42639.55441,42928.74124,43292.68389,41601.97316,42900.02252,43361.17712,42878.81184
Ghana,GHA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1715.823971,1711.271326,1728.097086,1827.273927,1899.808432,1981.61376,1951.064478,2009.359093,2046.007619,2066.375224
Gibraltar,GIB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18000.41846,18083.87791,18070.78073,18304.30768,18647.49572,19017.99643,17283.24572,18960.89058,20287.7253,20826.89558
Greenland,GRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45545.14294,44536.35497,46561.78314,46597.94525,47012.98604,48170.7897,48139.5826,48514.52713,..,..
Grenada,GRD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7939.502066,8379.621847,8621.538901,8933.108249,9252.554034,9247.898382,7915.138714,8223.186698,8766.930964,9134.307447
Guam,GUM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34328.5632,34522.37793,34509.60065,34763.08114,34460.44653,35341.40513,31510.46336,31913.28896,33298.6993,..
Guatemala,GTM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3903.051966,3994.629085,4034.150577,4091.259983,4163.476302,4263.708444,4124.143539,4388.724072,4504.129223,4596.32008
